,Feeder Name,Feeder Head Node,Substation Name,Medium Voltage Length (miles),Three Phase Medium Voltage Length (miles),Three Phase Overhead Medium Voltage Length (miles),Two Phase Medium Voltage Length (miles),Two Phase Overhead Medium Voltage Length (miles),Single Phase Medium Voltage Length (miles),Single Phase Overhead Medium Voltage Length (miles),Overhead Percentage of Medium Voltage Line Miles,Ratio of Medium Voltage Lines to Number of Customers,Maximum Node Distance From Substation (miles),Nominal Voltage of Source (kV),Low Voltage Length (miles),Three Phase Low Voltage Length (miles),Three Phase Overhead Low Voltage Length (miles),Two Phase Low Voltage Length (miles),Two Phase Overhead Low Voltage Length (miles),Single Phase Low Voltage Length (miles),Single Phase Overhead Low Voltage Length (miles),Maximum Line Length From Transformer to Load (miles),Overhead Percentage of Low Voltage Line Miles,Ratio of Low Voltage Lines to Number of Customers,Number of Voltage Regulators,Number of Capacitors,Average Regulator Distance From Substation (miles),Average Capacitor Distance From Substation (miles),Number of Fuses,Number of Reclosers,Average Recloser Distance From Substation (miles),Number of Breakers,Number of Switches,Number of Lines Connected to Adjacent Feeder,Number of Closed Loops,Number of Transformers,Total Transformer Capacity (MVA),Number of Single Phase Transformers,Number of Three Phase Transformers,Ratio of Single Phase Transformers to Three Phase Transformers,Total Peak Planning Load (MW),Total Phase A Peak Planning Load (MW),Total Phase B Peak Planning Load (MW),Total Phase C Peak Planning Load (MW),Total Reactive Peak Planning Load (MVar),Percentage of Low Voltage Peak Planning Load on Phase A,Percentage of Low Voltage Peak Planning Load on Phase B,Percentage of Low Voltage Peak Planning Load on Phase C,Number of Single Phase Low Voltage Loads,Number of Three Phase Low Voltage Loads,Number of Medium Voltage Loads,Total Medium Voltage Peak Planning Load (MW),Average Number of Loads per Transformer,Average Peak Planning Load Power Factor,Average Peak Planning Load Imbalance by Phase,Total Number of Customers,Number of Customers per Square Mile of Feeder Convex Hull,Total Peak Planning Load (MW) per Square Mile of Feeder Convex Hull,Total Reactive Peak Planning Load (MVar) per Square Mile of Feeder Convex Hull,Total Transformer Capacity (MVA) per Square Mile of Feeder Convex Hull,Average Node Degree,Average Shortest Path Length,Diameter (Maximum Eccentricity),Number of PVs,Total PV Capacity (MW),Number of PVs with Volt-Var Control,Total Capacity of PVs with Volt-Var Control (MW),Number of PVs with Volt-Watt and Volt-Var Control,Total Capacity of PVs with Volt-Watt Volt-Var Control (MW),Number of Batteries,Total Capacity of Batteries (MW),Average Year of Building Construction,Average Land Value (USD per Square Foot),Percentage of Rural Customers,Percentage of Urban Customers,Percentage of Residential Customers,Percentage of Commercial Customers,Percentage of Industrial Customers,County,Line Configuration
88,p1uhs3_1247--p1udt6119,p1udt6119-p1uhs3_1247x,p1uhs3_1247,0.2107,0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.2503,12.47,0.3123,0.3123,0.0,0.0,0.0,0.0,0.0,0.0415,0.0,0.02082099971585467,0,0,,,0,0,,0,18,0,0,10,0.75,0,10,0.0,0.1117,0.0372332961,0.0372332961,0.0372332961,0.0227,33.3333,33.3333,33.3333,0,15,0,0.0,1.5,0.98,0.0,15.0,4806072672.0901,35789580.0183,7260207.7356,240303633604.5028,1.9667,11.9418,32,0,0.0,0,0.0,0,0.0,0,0.0,1969.0,186.79851226083161,0.0,100.0,100.0,0.0,0.0,Travis,delta-wye
89,p1uhs24_1247--p1umv26,p1uhs24_1247-p1umv26x,p1uhs24_1247,0.4534,0.2273,0.2267,0.0,0.0,0.226,0.2254,69.8893,0.0756,0.4559,12.47,0.1935,0.0,0.0,0.0,0.0,0.1935,0.1935,0.0629,29.9186,0.03225815442331667,0,0,,,1,0,,0,1,0,0,2,0.1,2,0,0.0,3.8349,0.0,0.0,3.8349,1.2605,0.0,0.0,100.0,5,0,1,3.7984,2.0,0.9502,0.0063,6.0,1317978987.5856,842386333.6176,276875616.1531,21966316459.7594,1.8667,3.4286,7,0,0.0,0,0.0,0,0.0,0,0.0,2006.0,4047.298348431949,0.0,100.0,0.0,0.0,100.0,Travis,delta-wye
90,p1uhs9_1247--p1udt13121,p1udt13121-p1uhs9_1247x,p1uhs9_1247,2.6663,2.6663,2.6644,0.0,0.0,0.0,0.0,87.5756,0.0544,1.1768,12.47,0.3761,0.3014,0.0,0.0,0.0,0.0747,0.0747,0.0288,2.4557,0.007676268585391223,0,2,,1.0785,0,0,,0,4,1,0,43,4.05,6,37,0.1622,4.0518,1.3438361952000002,1.3558740930000002,1.3520937636,0.8227,33.1664,33.4635,33.3702,9,38,2,2.4763,1.1136,0.98,0.0096,49.0,4883783686.7212,403834664.0154,82001795.0553,403659672065.7339,1.9857,11.1216,27,0,0.0,0,0.0,0,0.0,0,0.0,2000.0,12566.34474495669,0.0,100.0,99.1228,0.877193,0.0,Travis,delta-wye
91,p1uhs2_1247--p1udt899,p1udt899-p1uhs2_1247x,p1uhs2_1247,3.1511,3.1511,3.1505,0.0,0.0,0.0,0.0,95.4421,0.2251,2.7913,12.47,0.1498,0.0514,0.0,0.0,0.0,0.0984,0.087,0.0376,2.6364,0.010702513632802859,0,1,,2.7913,0,0,,0,2,0,0,13,1.35,5,8,0.625,2.2413,0.7716078684000001,0.7369797833999999,0.7327123482000001,0.6698,34.4268,32.8818,32.6914,5,8,1,1.7002,1.0,0.9694,0.0055,14.0,569122759.0469999,91113109.921,27229367.3868,54879694622.3917,1.9535,5.7829,14,0,0.0,0,0.0,0,0.0,0,0.0,1988.0,12135.654779990891,0.0,100.0,45.8333,33.3333,20.8333,Travis,delta-wye
92,p1uhs14_1247--p1udt6143,p1udt6143-p1uhs14_1247x,p1uhs14_1247,0.2229,0.1765,0.1758,0.0,0.0,0.0464,0.0458,74.9313,0.0318,0.142,12.47,0.0729,0.0375,0.0,0.0,0.0,0.0354,0.0354,0.0152,11.9568,0.010416814348385716,0,0,,,1,0,,0,1,0,0,7,0.425,3,4,0.75,0.1557,0.054006569100000006,0.0457066692,0.0559867617,0.0316,34.6863,29.3556,35.9581,3,4,0,0.0,1.0,0.98,0.1591,7.0,4581724309.2356,101911594.8951,20690502.4316,278176118775.0195,1.913,4.2372,10,0,0.0,0,0.0,0,0.0,0,0.0,1984.0,9346.88722317023,0.0,100.0,100.0,0.0,0.0,Travis,delta-wye
93,p1uhs13_1247--p1udt21698,p1udt21698-p1uhs13_1247x,p1uhs13_1247,0.6654,0.6654,0.6654,0.0,0.0,0.0,0.0,99.9067,0.6654,0.6659999999999999,12.47,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.000621371,0,0,,,0,0,,0,1,0,0,1,0.075,0,1,0.0,0.0015,0.0004999995000000001,0.0004999995000000001,0.0004999995000000001,0.0005,33.3333,33.3333,33.3333,0,1,0,0.0,1.0,0.9493,0.0,1.0,133902712.7779,194160.2726,64298.407,10042703458.3457,1.6667,2.3333,5,0,0.0,0,0.0,0,0.0,0,0.0,2007.0,1.3934452372655108,0.0,100.0,0.0,0.0,100.0,Travis,delta-wye
94,p1uhs9_1247--p1udt22357,p1udt22357-p1uhs9_1247x,p1uhs9_1247,2.7487,2.7487,2.7481,0.0,0.0,0.0,0.0,98.9602,2.7487,2.7763,12.47,0.0283,0.0283,0.0,0.0,0.0,0.0,0.0,0.0283,0.0,0.0282530558619,0,0,,,0,0,,0,2,1,0,1,0.075,0,1,0.0,0.0192,0.0063999936,0.0063999936,0.0063999936,0.0063,33.3333,33.3333,33.3333,0,1,0,0.0,1.0,0.95,0.0,1.0,34183264.4172,656325.5135,215723.7641,2563744831.2928,1.6667,2.3333,5,0,0.0,0,0.0,0,0.0,0,0.0,2006.0,695.6160298554178,0.0,100.0,0.0,0.0,100.0,Travis,delta-wye
95,subtransmission,st_mat,,1.1225,1.1225,1.1225,0.0,0.0,0.0,0.0,100.0,,5.6402,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,7,12,1.9474,247,299,95,81,36,2496.0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,11713197111699.494,2.2893,21.5756,40,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
0,p2uhs6_1247--p2udt1124,p2udt1124-p2uhs6_1247x,p2uhs6_1247,18.9479,10.2637,6.5801,0.0,0.0,8.6842,3.841,30.1793,0.0176,3.5119,12.47,15.5828,0.4937,0.0,0.0,0.0,15.0891,4.2232,0.0869,12.2302,0.014495635472234997,0,2,,2.801,41,0,,0,458,1,0,394,21.675,357,37,9.6486,8.5272,2.8508561400000003,2.8202946551999997,2.8560492048,1.8473,33.4325,33.0741,33.4934,1034,41,0,0.0,2.7284,0.9784,0.5064,1075.0,21569418927.8077,171095343.8602,37066274.6986,434899679311.8428,1.9993,102.8285,278,0,0.0,0,0.0,0,0.0,0,0.0,1990.0,467.4467445271228,0.0,100.0,85.7793,10.9784,3.24232,Travis,delta-wye
1,p2uhs0_1247--p2udt8249,p2udt8249-p2uhs0_1247x,p2uhs0_1247,15.6339,5.1682,3.6630000000000003,0.0,0.0,10.4658,8.1855,43.0317,0.0226,3.7327,12.47,11.9003,0.0487,0.0,0.0,0.0,11.8516,4.5881,0.1051,16.6633,0.017221816725760546,0,3,,1.8157,25,0,,0,256,1,0,232,9.555,229,3,76.3333,4.8127,1.7591525421000005,1.5220885655,1.5314588924000003,0.983,36.5523,31.6265,31.8212,687,3,1,0.9393,2.9657,0.9794,0.5242,691.0,14547298205.0192,101319455.2099,20693665.6106,201156923804.5717,1.9989,71.4594,185,0,0.0,0,0.0,0,0.0,0,0.0,2000.0,110.46429249777262,0.0,100.0,96.6825,1.65877,1.65877,Travis,delta-wye
2,p2uhs6_1247--p2udt6420,p2udt6420-p2uhs6_1247x,p2uhs6_1247,21.5785,13.8218,9.4094,0.0,0.0,7.7566,2.6873,35.609,0.0244,3.2997,12.47,12.3924,0.8955,0.0,0.0,0.0,11.4969,2.5186,0.0763,7.4139,0.01398686279908621,0,1,,3.2657,32,0,,0,470,1,0,377,23.5,309,68,4.5441,11.3725,3.78895308,4.0009478525,3.5825990675000003,2.4147,33.3168,35.1809,31.5023,803,81,2,2.2925,2.3439,0.9790000000000001,0.3274,886.0,22290135384.2,286111216.6012,60750265.3288,591216909174.6035,1.9992,75.6995,185,0,0.0,0,0.0,0,0.0,0,0.0,1982.0,310.01591182006666,0.0,100.0,97.2887,1.47528,1.23604,Travis,delta-wye
3,p2uhs8_1247--p2udt4184,p2udt4184-p2uhs8_1247x,p2uhs8_1247,15.5369,3.0469,2.1215,0.0,0.0,12.4901,9.6376,45.7649,0.0254,3.1799,12.47,10.1576,0.0791,0.0,0.0,0.0,10.0784,4.9809,0.1057,19.385,0.016624472585654228,0,2,,1.9272,26,0,,0,260,0,0,253,11.995,248,5,49.6,5.5839,1.9267023594000003,1.5594045852,2.0977930554000004,1.1434,34.5046,27.9268,37.5686,605,5,1,1.0672,2.4055,0.9789,0.4619,611.0,14470485820.8055,132245682.4777,27079373.3844,284080977775.0608,1.9988,59.8141,148,0,0.0,0,0.0,0,0.0,0,0.0,1995.0,130.4582355667809,0.0,100.0,97.0018,1.0582,1.94004,Travis,delta-wye
4,p2uhs0_1247--p2udt8078,p2udt8078-p2uhs0_1247x,p2uhs0_1247,16.1553,7.0215,2.8516,0.0,0.0,9.1338,3.0889,18.9067,0.0161,2.8665,12.47,15.2652,0.3624,0.0,0.0,0.0,14.9028,1.8717,0.0897,5.9569,0.015189247926174175,0,4,,1.1425,54,0,,0,563,1,0,365,19.1,331,34,9.7353,7.6827,2.4302761737000003,2.6412738465000003,2.6111499798,1.5718,31.6331,34.3795,33.9874,969,36,0,0.0,2.7534,0.9795,0.4998,1005.0,32749616573.0278,250354873.4176,51221051.0144,622405648303.3159,1.9993,95.5069,231,0,0.0,0,0.0,0,0.0,0,0.0,1991.0,100.27185114742468,0.0,100.0,95.0374,3.73895,1.22366,Travis,delta-wye
5,p2uhs0_1247--p2udt8122,p2udt8122-p2uhs0_1247x,p2uhs0_1247,6.3203,4.6798,4.6798,0.0,0.0,1.6405,1.6355,77.3864,0.0735,2.5340000000000003,12.47,1.8405,0.3702,0.0,0.0,0.0,1.4703,1.4365,0.0937,17.6024,0.021400786873010703,0,2,,1.1759,8,0,,0,2,0,0,53,6.425,28,25,1.12,4.3982,1.4715013758000002,1.4622651558000002,1.4644334684,0.9233,33.4569,33.2469,33.2962,57,27,2,2.0644,1.5926,0.972,0.06,86.0,2188034919.2522,111900961.707,23491526.8047,163466562281.3409,1.9915,14.7641,37,0,0.0,0,0.0,0,0.0,0,0.0,1977.0,1237.2550902697199,0.0,100.0,24.7191,49.4382,25.8427,Travis,delta-wye
6,p2uhs8_1247--p2udt6561,p2udt6561-p2uhs8_1247x,p2uhs8_1247,1.9695,1.1748,0.15,0.0,0.0,0.7947,0.3123,9.7999,0.0083,0.8025,12.47,2.7472,0.0827,0.0,0.0,0.0,2.6645,0.8359,0.0548,17.7215,0.011591611298517804,0,0,,,18,0,,0,155,0,0,109,6.95,97,12,8.0833,2.8499,0.9376569986,0.9842671131,0.9279758883,0.5787,32.9014,34.5369,32.5617,225,12,0,0.0,2.0973,0.98,0.5575,237.0,31630307953.4992,380353404.1357,77236892.1941,927555444205.9904,1.9974,48.216,117,0,0.0,0,0.0,0,0.0,0,0.0,1999.0,4123.933413273266,0.0,100.0,0.0,100.0,0.0,Travis,delta-wye
7,p2uhs8_1247--p2udt6424,p2udt6424-p2uhs8_1247x,p2uhs8_1247,9.3514,6.9670000000000005,5.5677,0.0,0.0,2.3844,2.0909999999999997,70.3202,0.0703,3.177,12.47,1.5396,0.2072,0.0,0.0,0.0,1.3324,0.4477,0.0587,4.1107,0.011576042684396994,0,4,,1.7723,14,0,,0,67,0,0,80,9.51,57,23,2.4783,6.3904,2.1304443328000002,2.1314412352,2.128514432,1.6991,33.3382,33.3538,33.308,107,23,3,3.1797,1.642,0.975,0.1002,133.0,4290780029.8555,206162937.2124,54814454.3461,306806902886.6633,1.9953,24.0288,62,0,0.0,0,0.0,0,0.0,0,0.0,1988.0,3650.236209737558,0.0,100.0,23.6842,61.8421,14.4737,Travis,delta-wye
8,p2uhs11_1247--p2udt5729,p2udt5729-p2uhs11_1247x,p2uhs11_1247,7.742999999999999,3.4234,2.457,0.0,0.0,4.3195,0.6944,17.7215,0.0108,2.7204,12.47,10.0399,0.0185,0.0,0.0,0.0,10.0214,1.1875,0.0614,6.6775,0.014002592781126186,0,2,,2.0881,21,0,,0,339,0,0,207,10.4,205,2,102.5,5.4589,1.8300525538,1.9223407172,1.706506729,1.1083,33.5242,35.2148,31.261,714,2,1,1.1035,3.4471,0.98,0.5254,717.0,34850809308.0096,265335353.4568,53871727.3236,505506857466.2499,1.9989,58.4355,151,0,0.0,0,0.0,0,0.0,0,0.0,1984.0,131.61268726065595,0.0,100.0,99.0385,0.961538,0.0,Travis,delta-wye
9,p2uhs12_1247--p2udt5984,p2udt5984-p2uhs12_1247x,p2uhs12_1247,13.9907,4.695,4.0955,0.0,0.0,9.2957,5.1432,36.2256,0.0189,2.748,12.47,11.5124,0.0863,0.0,0.0,0.0,11.425999999999998,3.1269,0.0722,12.2611,0.01557833653532574,0,2,,2.2523,25,0,,0,331,0,0,258,12.8,254,4,63.5,5.0517,1.8243608346,1.6304765886,1.5968575251,1.0337,36.1138,32.2758,31.6103,735,4,0,0.0,2.8643,0.9794,0.6409999999999999,739.0,21119448274.7248,144368161.0478,29542196.8685,365803704893.7466,1.999,53.6558,143,0,0.0,0,0.0,0,0.0,0,0.0,2004.0,105.8349304388308,0.0,100.0,98.6755,0.264901,1.0596,Travis,delta-wye
10,p2uhs12_1247--p2udt5222,p2udt5222-p2uhs12_1247x,p2uhs12_1247,10.4582,3.3787,2.5016,0.0,0.0,7.0794,2.8366,24.5625,0.0137,2.6953,12.47,11.275,0.0629,0.0,0.0,0.0,11.2121,2.2467,0.0611,10.3377,0.014757903841762215,0,1,,2.224,21,0,,0,352,0,0,230,12.35,225,5,45.0,5.0569999999999995,1.530243143,1.7221158369999998,1.804646077,1.0617,30.2599,34.0541,35.6861,759,5,0,0.0,3.3217,0.9794,0.5870000000000001,764.0,34410925121.2025,227769730.0173,47819345.9184,556249902155.5662,1.999,54.4478,142,0,0.0,0,0.0,0,0.0,0,0.0,2002.0,92.28749671225641,0.0,100.0,97.9817,0.550459,1.46789,Travis,delta-wye
11,p2uhs0_1247--p2udt1587,p2udt1587-p2uhs0_1247x,p2uhs0_1247,11.1018,4.6417,3.1942,0.0,0.0,6.4601,4.4986,42.8618,0.0238,3.6463,12.47,6.8461,0.0371,0.0,0.0,0.0,6.8091,2.1751,0.1197,12.1192,0.014659794164719676,0,1,,1.9537,17,0,,0,187,0,0,142,6.825,139,3,46.3333,2.7536,1.0558706736,0.8369787488,0.860747824,0.5868,38.3451,30.3958,31.259,464,3,0,0.0,3.2887,0.9779,0.6455,467.0,12284911744.463999,72435928.89,15435279.6897,179538592411.0645,1.9982,51.4025,140,0,0.0,0,0.0,0,0.0,0,0.0,2005.0,112.17565479308435,0.0,100.0,93.8095,0.952381,5.2381,Travis,delta-wye
12,p2uhs7_1247--p2udt2957,p2udt2957-p2uhs7_1247x,p2uhs7_1247,11.4832,4.5594,3.5469,0.0,0.0,6.9238,4.1048,38.163000000000004,0.0199,4.1713,12.47,8.567,0.0492,0.0,0.0,0.0,8.5177,1.9856,0.0878,9.9031,0.014847412261198624,0,2,,2.1126,19,0,,0,261,1,0,180,9.34,175,5,35.0,3.7825,1.1128984975,1.5182160675000005,1.151385435,0.7833,29.4223,40.1379,30.4398,572,5,0,0.0,3.2056,0.9793,0.6273,577.0,11854185074.2888,77710609.63,16093467.0123,191885768793.5135,1.9987,56.9425,140,0,0.0,0,0.0,0,0.0,0,0.0,2005.0,73.73060640542941,0.0,100.0,97.8637,0.712106,1.42421,Travis,delta-wye
13,p2uhs7_1247--p2udt3821,p2udt3821-p2uhs7_1247x,p2uhs7_1247,7.7768,4.024,3.2163,0.0,0.0,3.7528,2.9776,49.7662,0.0263,4.1482,12.47,4.6692,0.0006,0.0,0.0,0.0,4.6685,1.6557,0.0939,13.3029,0.01577415775163709,0,1,,4.0234,6,0,,0,103,1,0,89,4.17,88,1,88.0,2.6351,1.0103421367,0.6596208670999999,0.9651369962,0.5479999999999999,38.3417,25.0321,36.6262,294,1,1,0.9253,3.2889,0.9767,0.4273,296.0,6031015537.9277,53690425.2751,11165403.3165,84963968895.8052,1.9972,39.8508,114,0,0.0,0,0.0,0,0.0,0,0.0,2003.0,96.3850025256378,0.0,100.0,91.3146,0.938967,7.74648,Travis,delta-wye
14,p2uhs2_1247--p2udt8082,p2udt8082-p2uhs2_1247x,p2uhs2_1247,9.3672,5.2179,4.0793,0.0,0.0,4.1493,0.6092,26.3921,0.0155,3.2158,12.47,8.3976,0.0943,0.0,0.0,0.0,8.3033,0.5592,0.0674,3.1479,0.01390324507249077,0,1,,2.4234,25,0,,0,319,0,0,191,11.025,182,9,20.2222,5.362,1.762741414,1.74283767,1.8564209160000005,1.1022,32.8747,32.5035,34.6218,594,9,1,0.9442,3.1458,0.9799,0.452,604.0,29318414452.4507,260271441.9647,53498896.3128,535158144599.7841,1.9988,60.5727,163,0,0.0,0,0.0,0,0.0,0,0.0,1981.0,166.89251543764178,0.0,100.0,98.3069,1.48148,0.21164,Travis,delta-wye
15,p2uhs2_1247--p2udt8512,p2udt8512-p2uhs2_1247x,p2uhs2_1247,5.6478,3.2065,2.7866,0.0,0.0,2.4413,0.5714,29.166999999999998,0.0153,2.2817,12.47,5.8653,0.2429,0.0,0.0,0.0,5.6224,1.2979,0.0851,11.2732,0.015852268981732948,0,1,,1.7169,14,0,,0,158,0,0,126,7.375,107,19,5.6316,3.0284,1.0445526995999999,0.9896417507999999,0.9942025212000002,0.6154,34.4919,32.6787,32.8293,350,20,0,0.0,2.9365,0.9798,0.4474,370.0,26570741046.5307,217475069.1168,44195735.27,529619500589.6332,1.9979,37.1078,93,0,0.0,0,0.0,0,0.0,0,0.0,1986.0,479.00397848161805,0.0,100.0,98.3017,1.4985,0.1998,Travis,delta-wye
16,p2uhs2_1247--p2udt106,p2udt106-p2uhs2_1247x,p2uhs2_1247,8.5866,4.226,3.8195,0.0,0.0,4.3606,1.6909999999999998,35.8825,0.0188,3.0410000000000004,12.47,6.7704,0.3006,0.0,0.0,0.0,6.4698,1.1499,0.0768,7.4879999999999995,0.01481488348616741,0,1,,2.2569999999999997,16,0,,0,187,0,0,141,9.475,125,16,7.8125,3.9609,1.2205077651,1.5365519369999998,1.2038402979,0.8102,30.8139,38.793,30.3931,440,17,0,0.0,3.2411,0.9795,0.4372,457.0,16432200107.8635,142421446.3156,29131643.8641,340689488013.1448,1.9983,42.63,105,0,0.0,0,0.0,0,0.0,0,0.0,1980.0,453.63884749122917,0.0,100.0,93.5315,5.2447599999999985,1.22378,Travis,delta-wye
17,p2uhs11_1247--p2udt3455,p2udt3455-p2uhs11_1247x,p2uhs11_1247,10.2173,5.5325,1.4071,0.0,0.0,4.6848,3.049,26.9191,0.019,4.655,12.47,6.3363,0.4333,0.0,0.0,0.0,5.903,2.7405,0.0787,16.5553,0.011799533606858236,0,1,,3.8516,25,0,,0,247,0,0,196,11.35,176,20,8.8,4.6218,1.5479055252,1.539475362,1.5344237346,0.9503,33.4914,33.309,33.1997,511,26,0,0.0,2.7398,0.9797,0.5163,537.0,28041987195.0802,241346780.7837,49621850.7159,592693770324.3212,1.9986,56.4097,158,0,0.0,0,0.0,0,0.0,0,0.0,1990.0,3073.879854430896,0.0,100.0,68.062,31.1628,0.7751939999999999,Travis,delta-wye
18,p2uhs11_1247--p2udt7967,p2udt7967-p2uhs11_1247x,p2uhs11_1247,17.243,8.9237,6.6927,0.0,0.0,8.3193,6.1754,44.0774,0.0223,3.8458,12.47,11.9512,0.4843,0.0,0.0,0.0,11.467,6.8183,0.0832,23.3551,0.015480874835044303,0,2,,2.6148,36,0,,0,253,0,0,323,17.925,289,34,8.5,6.8632,2.3299740416,2.2790353712,2.254183724,1.5177,33.9488,33.2066,32.8445,735,37,0,0.0,2.3901,0.977,0.4597,772.0,22075202569.8192,196252789.5705,43397817.258999996,512562184020.7366,1.999,63.8921,159,0,0.0,0,0.0,0,0.0,0,0.0,1992.0,1365.5495054213627,0.0,100.0,78.2689,14.6409,7.09024,Travis,delta-wye
19,p2uhs2_1247--p2udt7925,p2udt7925-p2uhs2_1247x,p2uhs2_1247,8.8515,4.0306,1.7155,0.0,0.0,4.8209,0.2633,9.3731,0.0116,3.0407,12.47,12.26,0.1207,0.0,0.0,0.0,12.1393,0.6705,0.0754,3.1761,0.01600524201378499,0,2,,2.278,27,0,,0,424,0,0,230,11.525,223,7,31.8571,4.7831,1.6523792922,1.5308215887999999,1.5998991189999998,0.9737,34.5462,32.0048,33.449,757,9,0,0.0,3.3304,0.9796,0.5762,766.0,34783317835.2309,217197610.6918,44215746.6729,523339083617.5416,1.999,74.8618,188,0,0.0,0,0.0,0,0.0,0,0.0,1971.0,221.17858830356656,0.0,100.0,96.3526,2.53293,1.11449,Travis,delta-wye
20,p2uhs2_1247--p2udt3567,p2udt3567-p2uhs2_1247x,p2uhs2_1247,14.3038,8.0778,6.4472,0.0,0.0,6.2261,4.8529,57.251999999999995,0.0497,3.4126,12.47,5.4336,0.7554,0.0,0.0,0.0,4.6783,1.8758,0.1,9.5035,0.018866785992015512,0,2,,1.5745,19,0,,0,125,0,1,155,12.325,115,40,2.875,5.3582,1.7670700616,1.7634425602000001,1.8276927364,1.308,32.9788,32.9111,34.1102,240,47,1,0.8105,1.8462,0.9733,0.1823,288.0,8849452332.9891,164641675.2362,40192113.0356,378713541680.8715,2.0,37.464,84,0,0.0,0,0.0,0,0.0,0,0.0,1985.0,493.4024743946208,0.0,100.0,74.0196,10.2941,15.6863,Travis,delta-wye
21,p2uhs5_1247--p2udt7295,p2udt7295-p2uhs5_1247x,p2uhs5_1247,8.2442,4.1902,0.9275,0.0,0.0,4.053999999999999,1.6564,16.0439,0.0163,3.3784,12.47,7.8608,0.3478,0.0,0.0,0.0,7.513,1.778,0.0719,11.04,0.015535209230070497,0,0,,,20,0,,0,278,0,0,194,10.05,177,17,10.4118,5.3324,1.7713806208,1.6517055675999999,1.9093138116,1.1652,33.2192,30.9749,35.8059,487,18,1,1.3991,2.5949,0.9784,0.3583,506.0,17748569846.7644,187039380.8611,40869629.3304,352516061185.736,1.9986,73.2204,199,0,0.0,0,0.0,0,0.0,0,0.0,1978.0,424.02449788346945,0.0,100.0,92.219,3.7464,4.03458,Travis,delta-wye
22,p2uhs2_1247--p2udt8516,p2udt8516-p2uhs2_1247x,p2uhs2_1247,4.9111,3.9547,3.1647,0.0,0.0,0.9564,0.8609,61.8832,0.0712,3.1756,12.47,1.5939,0.2281,0.0,0.0,0.0,1.3659,1.0761,0.0634,16.542,0.023100481200590304,0,2,,2.0568,4,0,,0,24,1,0,39,5.025,29,10,2.9,4.4344,1.5435481240000002,1.409385352,1.4814709584,1.1728,34.8085,31.783,33.4086,55,12,2,2.6093,1.725,0.9683,0.0452,69.0,2714610680.9668,174460495.4998,46141330.2358,197694473505.18802,1.9899,17.9136,43,0,0.0,0,0.0,0,0.0,0,0.0,1972.0,2915.940228366449,0.0,100.0,47.2973,16.2162,36.4865,Travis,delta-wye
23,p2uhs5_1247--p2udt7035,p2udt7035-p2uhs5_1247x,p2uhs5_1247,20.7941,11.2264,7.7271,0.0,0.0,9.5676,2.9525,23.9282,0.0132,2.541,12.47,23.838,1.0986,0.0,0.0,0.0,22.7394,4.217,0.0933,9.4484,0.015183447381951404,0,3,,1.4473,53,0,,0,697,0,1,504,31.95,429,75,5.72,13.4284,4.4238252392,4.5637357388,4.4408390220000005,2.8219,32.9438,33.9857,33.0705,1483,86,1,0.8058,3.1089,0.9793,0.4153,1570.0,53792065762.9281,460090542.9853,96685975.5969,1094685669506.7184,2.0,87.0671,233,0,0.0,0,0.0,0,0.0,0,0.0,1987.0,414.2558297758187,0.0,100.0,96.9086,1.84812,1.24328,Travis,delta-wye
24,p2uhs5_1247--p2udt2008,p2udt2008-p2uhs5_1247x,p2uhs5_1247,21.4429,12.8496,10.4919,0.0,0.0,8.5933,5.4626,45.4239,0.027000000000000003,3.0858,12.47,13.6806,1.0876,0.0,0.0,0.0,12.593,4.7505,0.0863,13.5251,0.017251686365792523,0,2,,2.2883,50,0,,0,332,2,0,321,20.95,267,54,4.9444,7.8126,2.6448541662,2.5638687546,2.6038770792,1.8302,33.8537,32.8171,33.3292,734,59,0,0.0,2.4704,0.976,0.3804,793.0,22104290708.0479,217771771.5646,51015215.2288,583965813787.6454,1.9991,60.805,176,0,0.0,0,0.0,0,0.0,0,0.0,1973.0,534.2463582833133,0.0,100.0,76.0849,13.7898,10.1254,Travis,delta-wye
25,p2uhs9_1247--p2udt3884,p2udt3884-p2uhs9_1247x,p2uhs9_1247,9.5726,6.4478,6.0629,0.0,0.0,3.1248,2.2998,62.9337,0.042,2.4008,12.47,3.7155,0.3836,0.0,0.0,0.0,3.332,1.3633,0.0641,10.2595,0.016296200283718674,0,3,,1.1340000000000001,13,0,,0,89,0,0,94,11.575,73,21,3.4762,6.1943,1.9114308997,1.9287191909999999,2.3541499093000002,1.4489,30.8579,31.136999999999997,38.0051,203,23,2,2.1846,2.4,0.9776,0.1288,228.0,10075688923.3438,273734770.714,64027179.4776,511517979332.0355,1.9968,32.5736,82,0,0.0,0,0.0,0,0.0,0,0.0,1994.0,828.2832584268442,0.0,100.0,71.6981,21.5094,6.79245,Travis,delta-wye
